id,description,rank_score
136757132," fall into eighth day arts poetry amp  ;  wine salon free wine amp  ;  light bites 6  :  30 p . m . showtime 7  :  15 p . m. on poetics amp  ;  on electric violin guest poets  :   ,   ,   ,   ,  123 n . maryland ave.  ,  between wilson amp  ;  broadway  )   ,  glendale  ,  ca 91206 90 minutes free parking available at store or free off street parking east of maryland free open mic please rsvp ",0.95
qwfltcywfbgc," we have returned to first ame church of los angeles for soul linedancing  !   !   !  come on out and have a good time  !  we have recently divided our class into beginner  's and high beginners intermediate sessions . the beginner  's sesssion will start at 6  :  30pm for our warm up and will end at 7  :  30pm this session will allow you to slowly build up your linedance knowledge and burn some unwanted calories  !  if you would like to continue  ,  you would just stay put and enjoy the high beginners intermediate session from 7  :  35 to 8  :  45pm . this would give you a full workout  !   !   (  gotta be out by 9pm sharp  !   )  we  'll be looking forward to seeing all our old members and new ones too  !  for you new members  ,  the church is located at 2270 south harvard boulevard  ,  los angeles  ,  ca 90018  (  one block north of adams blvd.  ,  2 blocks east of western avenue  )  . you can park behind the church in the large parking lot and there are security guards on duty there . once parked  ,  come to the plaza area . from the parking lot  ,  walk down the stairs on the east side of the church . please try to come down the stairs on the outside of the church so as not to disturb the choir rehearsals and other meetings inside the church . class cost is 5.00 which will go towards rebuilding our church funds  ,  which have seriously been depleted  (  if you  've kept up with the news.  )  come on out and have great time in a no fault atmosphere ... that means just come have some fun . thanks so much for your support  !  jackie and james ",0.774
235086242," come watch some slashy movies or classic slashy tv shows . exact selection will depend on what i get assigned for festivids and what i'm planning to treat for yuletide . come see my collection of miami vice fanzines and hang out . i live an easy half mile walk from the metro . there  's parking  ,  but a lot of it is 2 hour . i  'll be cooking . more snacks are always welcome. ",0.318
75196402," if you enjoy running walking  ,  this is the place to be. 5k and more  !  a cross country invitational at la  's most beautiful park . see website  :  ktraxathletics.com to view meet information and register. ",0.62
13745721," cross posted on my meetup group . i have some free time on thursday morning so i'm going to get in a quick four hour hike  ,  one of my favorites  :  mt . zion loop  ,  out of chantry flat . if you  're free  ,  please join me  !  this enjoyable 9.5 mile hike has it all  :  lush shaded forests  ,  flowing streams  ,  waterfalls  ,  historic sites  ,  peak ascents  ,  sunny chaparral and stunning views  ,  with about 2  ,  100 feet of elevation gain . we  'll do this loop counter clockwise  ,  which means we  'll be going down the face of mt . zion  ,  the steepest section of the hike . thus  ,  we  'll have plenty of steady climbing and one steep descent  ,  instead of the other way around . from the parking lot  ,  we  'll head down a paved road for about a half mile  ,  then begin along the path toward sturtevant falls . we  'll bypass the bottom of the falls and take the trail that rises to its top  ,  with nice views of the tumbling waterfall and the cascades above . after a brief stop  ,  we  'll continue following the stream for a couple miles  ,  going past cascade picnic area and spruce grove campground to the unique  ,  which was established in 1893 and is the only camp from the great hiking era still operating in the san gabriels . it  's the perfect spot for a bite to eat and a potable water refill from the drinking fountain . from sturtevant camp  ,  a gentle 30 minute climb takes us to zion peak  ,  with great views in all directions  (  and  ,  amazingly  ,  cell service call your friends and tell them to gaze high up into the mountains . that  's you up there.  )  after zion  ,  we  'll descend very steeply to winter creek  ,  and take the upper winter creek trail back to the parking lot . we  'll maintain a moderate pace  ,  which should get us back to the cars by noon . directions  :  from the santa anita exit of the 210  ,  go north 5 miles . santa anita leaves the neighborhoods behind and becomes a winding mountain road  ,  ending at the parking lot  ,  which requires an adventure pass . it  's 5 for the day or 30 for an annual pass that is good at all la area national forest sites . passes can be purchased at many sporting goods stores  ,  or . passes are generally available from the ranger station as well  ,  but that can be a bit hit or miss during the week . i always carry some extra day passes in my car  ,  so you can buy one from me if that  's easier . friendly  ,  socialized dogs are very welcome on this hike . officially they must be on leash  ,  and certainly that  's true at the beginning and end near the ranger station  ,  and at sturvevant camp . my dog  's been off the trail for two weeks so she  's dying to get out there . if you have questions about this event  ,  or need to reach me for any reason  ,  you  're welcome to . note that my cell service fades out en route to chantry flat  ,  so you wo  n't be able to reach me after about 7  :  45 am. ",0.664
xmwddnywkbbc, zumba with carlos combines traditional zumba with cardiokick . this class will tone tighten and firm ur trouble areas and is a perfect way to close out ur day. ,0.05
154201482," an evening dedicated to the direct exploration of tantra and its ancient roots . on the panel are four tantrikas exposing the naked truth about the tantric experience . no holds barred . any question  ,  any subject  ,  anything you ever wanted to know and did  n't have the opportunity to be bold and just ask . in this specific evening  ,  we ll be diving into the dark side of the soul  ,  exploring our concepts of attachment  ,  fear and sexuality in relation to connection  ,  relationships and love . the event is held in a special format  ;  we allow panelists to answer up to 3 minutes each  ,  our hostess viraja will direct and take questions from the audience or allow the panelists to poke us and invoke and bring out topics for all of us to explore together . what does it mean to be a tantrika  ?  do tantric dakinis and dakas have sex all the time  ?  what is it about no ejaculation  ?  does tantra promote polyamory  ?  do tantrikas eat meat  ?  drink wine  ?  is there a hidden unspoken war between tantrikas and yogis  ?   !  why is tantra seen as such a dangerous path  ?  how can relating to a multi armed god help my relationship with my beloved  ?  as an integral part of this evening  ,  we will do our best to answer your questions regarding these topics . prior knowledge in either path is not necessary to attend this evening  ,  only an open heart and inquisitive mind that is willing to ask questions  ,  challenge assumptions and explore in a group setting . love exchange  :  online 25 get your ticket here  :  at the door 30 when  :  friday  ,  january 10th 7  :  00pm 10  :  00pm where  :  the sanctuary cardiff  ,  ca 92007 about your panel  :  lawrence lanoff  ,  sedona  ,  az is one of the most fascinating people on the teaching landscape . truly a renaissance man  ,  lawrence is a film director  ,  photographer  ,  author and a deeply enlightened healer and teacher . he calls himself a rubber meets the road kinda guy as he applies this practical essence to his artistic and spiritual skills over a 20 year span  ,  to an amazing array of disciplines  ,  starting with a couple of dream jobs the directing of movies and as a photographer for playboy magazine . over the past several years  ,  lawrence has been in a process of refining his radical teachings  ,  leading people into a new kind of freedom  ,  literally deprogramming them from the sleep imposed by cults and religions . what is slowly evolving is a revolutionary new theory of consciousness that incorporates evolution  ,  symbolism  ,  metaphor  ,  neurobiology  ,  and their relationship to healing  ,  spiritual evolution  ,  and neuro economics the neural pathways that influences our deepest feelings about self worth and money  ,  and  ,  of course  ,  sex and relationships . shawn roop has been a student and teacher of life wisdom since 1989 . shawn holds a bachelors in sociology  ,  master practitioner of nlp  ,  certified tantric therapist and certified master tantric counselor . he is the founder of tantra quest  ,  a tantra school based in san diego and is the author of 'pathways to love  :  28 days to self love' . featured in numerous media appearances on nbc  ,  fox  ,  e  !   ,  the travel channel  ,  usa and playboy radio  ,  as well other radio and print articles  ,  shawn is proud to share his work with the intention to support healthy sex  ,  personal empowerment and spiritual growth . to learn more about shawn  :  monique darling  ,  san diego  ,  ca  ,  authenticity and vulnerability coach  ,  is the founder of divine interludes which provides workshops and experiential play shops in the art of tantra  ,  compassionate communication  ,  and conscious loving . she has studied and taught with renowned tantra teachers and extraordinary workshop facilitators since 1990 and is a certified cuddly party facilitator . she has been featured on tlc and the dr s and has been interviewed by magazines across the usa . monique is dedicated to empowering others utilizing her vast repertoire of cutting edge teachings . she specializes is helping others reclaim their power and natural sensuality by transmuting fear and repression into courage  ,  self love and freedom . she guides from a place of understanding and her natural exuberance is infectious  !  she is available for private sessions  ,  experiential workshops and cuddle parties . learn more about monique by going to www.divineinterludes.com ran baron is a tantric daka  ,  a spiritual teacher and sought after public speaker in the fields of theology  ,  eastern philosophy  ,  and mysticism . having ventured through various spiritual paths himself  ,  baron was ordained as a hindu priest  (  brahmana  )   ,  certified as a yoga and tai chi instructor  ,  and has been studying and practicing buddhism  ,  zen  ,  hinduism and yoga in many of its different flavors since the age of 14 . baron has instructed numerous meditation workshops and yoga retreats and has given hundreds of talks and lectures about the nature of spirituality and self inquiry . he continues to share his unique view and vast experience in his talks . baron  's teachings emphasize a non dogmatic approach that allows for personal growth through an honest thirst for truth . to learn more about ran  :  about our hostess  :  viraja prema  ,  phdc is a lifetime lover of life  ,  an experienced public speaker and a performer with over 16 years of professional experience as a self awareness  ,  love amp  ;  intimacy guide . she has worked with thousands of clients  ,  from professional athletes  ,  celebrities and ceos to college students and stay at home moms  ;  in private sessions and group events . her life experience as well as studies and training have brought her to an easily recognizable mastery level of hands on healing work  ,  coaching and facilitation of group experiences . viraja brings her open heart and creates a sense of safety  ,  fun and acceptance wherever she goes . learn more about viraja here  :  to watch excerpts of previous events click here  :  kamala devi on what is tantra ask a tantrika ran baron shawn roop about tantra ",0.704
234414911," we will be meeting up at 'the griffin' in atwater village . a great bar with an awesome medieval atmosphere and a mean blood orange whiskey sour . the only caveat is that everyone must buy at least one thing if we are to play here . if you  're not a drinker  ,  do  n't worry . they have a great burger and a variety of tasty bar snacks  !  in addition to cards against humanity  ,  there will be other fun 'adult' games of a similar nature available to play as well  !  these titles currently include  :  telestrations  :  after dark exploding kittens nsfw edition if less than 3 other people rsvp within 24 hours of the meetup  ,  the meeting will be cancelled as cards against humanity requires at least 4 players. ",0.832
qhkvxfyrhbvb," drop in thursday nights for meditation focused on calming your mind to a place of bright and present awareness . explore in a supportive group setting the simple and effective method known traditionally as shamatha  ,  which develops focused attention . these sessions serve as an enjoyable way to start or deepen your practice . teachers  :  lauren benjamin and brian reid lauren has been studying tibetan buddhism since 2000  ,  principally through teachings by geshe michael roach and venerable sumati marut . she has completed the 18 foundational and 18 advanced courses of the asian classics institute curriculum . she has also taken lifetime layperson vows  ,  bodhisattva vows and the advanced vows . former board president of aci la  ,  she now serves as a senior teacher at mahasukha teacher . brian has completed the 18 foundational and 18 advanced courses of the asian classics institute under the guidance of his heart teacher  ,  venerable sumati marut . he has also studied with geshe michael roach . he has happily taken lifetime layperson vows  ,  bodhisattva vows and the advanced vows . brian joyfully serves as a mahasukha teacher and board member of aci la. ",0.05
236244252," facebook invite  :  if you attended this huge party last year  ,  you know it was a blast  !  we will be in the same awesome iconic hollywood location but this time we will be upstairs in a bigger auditorium which means more bars  ,  more bartenders  ,  more casino games and most importantly less waiting  !  buy tickets  :  casino royale charity event  :  ticket will include entry  ,  open bar and one raffle ticket 3 bars roaming cocktail servers casino games dj photo booth roaming photographers raffle prizes ralph n richie  's food truck prizes for winning a waka casino chip  (  these will be randomly placed at the casino games  )  proceeds benefit the american legion post 43 casino games include  :  blackjack craps texas hold em roulette 3 card poker let it ride these games are not played for real money . they are played with casino cash which will be traded in for raffle tickets at the end of the evening . casino cash must be purchased separately . it will be sold online on the ticketing site until january 13th and at the event until 11pm. 100 in chips or casino cash 1 raffle ticket . raffle prizing includes  :  spot at clubwaka socal summer camp 2 tickets to universal studios hollywood samsung led smart tv fx1 drone with hd camera adidas originals monster headphones block rocker roku streaming stick beer pong table floating beer pong table corn hole set ladder golf set bud light party pack free clubwaka registrations ....and more  !  ticket pricing  :  early bird clubwaka player 35 early bird guest 45 standard clubwaka player 45 standard guest 55 late clubwaka player 55 late guest 60 all tickets at door 60 casino cash  :  early bird 20 400 casino cash early bird 50 2000 casino cash standard prepurchase 20 300 casino cash standard prepurchase 50 1500 casino cash door 20 200 casino cash door 50 1000 casino cash proceeds benefit the american legion post 43 ticketing link  :  there will be limited parking in the lot . please consider uber lyft . the open bar consists of beer  ,  wine amp  ;  well . premium options are available for purchase. ",0.054
223946181," who does  n't love bowling  ?  it  's fun  ,  easy and a fantastic way to meet others bowling as a team  !  if you  're new to meetup  ,  this event is perfect for you . we will play 2 games for 2.50 each game.  (  shoes are 3.50 and i highly suggest you bring your own  !   )  probably some dinner afterwards . hope to see you there  !  ",0.894
16483656," meet in front of the greek theatre . address is 2700 north vermont avenue los angeles  ,  california 90027 meet at 10  :  30 am . leave at 10  :  45 am . we will go on a under 1 mile hike a very short hike . hike will be under 1 hour . it has 600 elevation gain . bring 1 quart of water and shoes with good traction . we  're hike to the observatory and have approx. 25 minutes stop there and return . hike is suited for beginners since it is short  !  ",0.848
ntwhklytlblc," thanks to joseph for sharing about monday night mission  :  preface  :  this event is posted once a month in this group  ;  however this actually occurs every weeknight  ,  monday friday . so feel free to participate on another night of your choice . going to skid row is optional . some volunteers just help with making sandwiches or dropping off food water at burger king . skid row can be scary amp  ;  uncomfortable for some people  ,  so going is voluntary . if anyone is nervous scared afraid of being outdoors in the streets  ,  that  's totally understandable . there are other volunteer opportunities to choose from . if anyone is going  (  especially for the first time  )   ,  please read the entire description and review the following videos  (  of what to expect  )  . the following is from the sole aim of monday night mission is to feed the less fortunate of skid row who are unable to find housing or are turned away from shelters . we meet every monday  ,  tuesday  ,  wednesday  ,  thursday and friday night to feed our homeless brothers and sisters on skid row . we meet at the burger king at 7  :  30 pm at  :  700 west cesar e chavez avenue los angeles  ,  ca 90012 we will then prepare food  ,  organize car pools  ,  and aim head to skid row . anyone and everyone is welcome  !  don t worry about what you can or cannot bring  !  bring yourself  !  please let them know if you plan on joining them by leaving a comment on their  !  email masked or masked if you d like more information . please wear close toed footwear and be prepared for cold or rainy weather . if you would like to bring food  ,  below is a list of food items that can always be used  ,  however  ,  anything you can contribute is appreciated and will make a difference  !  we aim to feed anywhere from 200 to 500 people every night  ,  but the numbers will vary . also  ,  please feel free to bring any clothing items  ,  blankets  ,  toiletries  ,  etc. you would like to donate . useful food items pasta sandwiches loaves of bread peanut butter jelly lunch meats mayonnaise fruit packaged snacks bottled water you must let them know if you plan on joining them  ,  and you must arrive by 7  :  30 p.m . if you plan on coming  ,  you can inform them by commenting on their or by emailing mel at masked or masked photos  :  note  :  downtown la is a unique environment  ,  especially at night  ,  so please follow their instructions and stay together at all times . contact mel with any questions . he organizes amp  ;  manages this . he does not check this meetup page  ,  so any question should be posted on their facebook page. masked masked ",0.362
198831192, this is a 46 mile loop with hills  (  roughly 2000 feet total climbing  )  but not too hot . a great ride. ,0.652
thwlllywnbcc," the dynamic 90s toastmaster club is a friendly  ,  neighborhood club that teaches public speaking and leadership skills . all adults  (  18 or over  )  are welcome  !   !  ",0.04
dglnplyvqbsb," bogie  's latin wednesdays are back this week  ,  with live salsa band and dj . charlie antillon in the mix  !  come and discover a new level of luxurious salsa and bachata nights  ,  free parking  ,  delicious drink specials  ,  amazing live music and much more  !  3 dance classes  ,  6  :  30 7  :  15 beginner salsa 7  :  15 8  :  00 bachata 8  :  15 9  :  00pm intermediate salsa social dancing until 1  :  00am 32001 agoura rd . westlake village  ,  ca  (  818  )  masked ",0.44
173474642," this event is active and not closed . if you are interested  ,  please sign up . organizer  :  mike cheng nature lovers  :  lead  :  ledy start time  :  7  :  30 am hikers  :  brad barton  ,  monica e  ,  yoon mi  ,  mayra  ,  suraiya  ,  amy  ,  arlette  ,  romyleen  ,  gandhi  ,  irene  ,  grace  ,  dalia  ,  lee adams  ,  renee  ,  cheryl fast hikers  :  lead  :  mike cheng start time  :  8  :  00 am hikers  :  the rest of the group location  :  azusa  ,  ca hike difficulty  :  level 8 10 distance  :  9 miles elevation gain  :  3600' moving pace  :  2.2 mph time  :  6 hours trail condition  :  mostly single file trail  ,  no shade water  :  minimum 3 liters  (  if you bring less than this amount  ,  you will be in big trouble.  )  guest  :  no dog  :  no toilette  :  at trailhead adventure pass  :  parking lot yes street parking no what to bring  :  hat  ,  long pants  ,  sunscreen  ,  energy bar  ,  lunch  ,  snacks  ,  water  ,  hiking poles  ,  hiking shoes and the usual stuff . direction  :  from the 210 freeway exit at azusa avenue  (  highway 39  )  and head north for 10 miles or so . azusa avenue becomes san gabriel canyon road and parallels the san gabriel dam on the right . turn right on east fork road and continue for another 8 miles until the road dead ends at the east fork ranger station . park in the lot or beside the road below the ranger station . parking  :  public and street parking near the trail head . adventure pass is required . if parking is full near the trail head  ,  you can park at the oaks picnic area and hitchhike to the trail head . it is only 1 1 2 mile south of the trail head . carpool  :  . trail description  :  half of this hike will be along the ridge line . some short sections of the trail are steep  (  50 60 grade  )   ,  sandy and slippery . however  ,  these slippery sections are generally short  ,  less than 20 yards . there is no shade on this trail . if your legs are not strong enough  ,  one slip could mean serious injury . if you should slip along the ridge line  ,  you could fall 1  ,  000' to your demise . serious injury has happened on this hike before . you need to think twice before signing up . if your pace is slower  ,  there is a high likelihood that you will not reach the saddle before we turn around . therefore  ,  you must take your pace into consideration . unless you are a strong and experienced hiker  ,  i strongly recommend that you use hiking poles . warning  :  some sections of the heaton flat trail are very steep . these sections are usually short  ,  less than 20 yds  ,  but they could have a 50 grade with a sandy base . venue overview  :  according to john robinson  ,  author of trails of the angeles  ,  8007 foot iron mountain is by far the least accessible peak in the san gabriels... . no trail approaches its isolated summit  ,  and to climb it you must start miles away and thousands of feet below . in this local hiking legend  's view  ,  big iron is the most strenuous one summit hike in the entire san gabriel range . originally  ,  local miners in san gabriel canyon referred to the mountain as sheep mountain  ,  descriptive of the herds of bighorn sheep that once roamed its slopes . however  ,  the u . s . geological survey  ,  which mapped the san gabriel mountains in the 1890  's  ,  was apparently not as impressed with the fauna that roamed the surface of the mountain as it was with what lay beneath the surface  ,  iron ore deposits . thus the present name was bestowed . but the bighorn were not entirely forgotten for the designated wilderness area where big iron is located is named sheep mountain wilderness . our policy  :  profile photo  :  anyone interested in joining us hiking must have a profile photo showing his her face . this is a requirement of our group . without it  ,  you will not be allowed to sign up for an event . waiting list priority  :  people who hike with with us hiking regularly will be given priority when they are on the waiting list . advanced hikes  :  anyone interested in participating in advanced hikes  (  gt  ;  3  ,  000' elevation gain or distance gt  ;  10 miles or difficulty level gt  ;  7  )  will be subject to prescreening before his her name will be added to the list . therefore  ,  interested hiker must share with the event host his her recent hiking background to establish proficiency before his her name will be added to the list . guests are not allowed on advanced hikes . early departure  :  if a hiker needs to be separated from the group for any reason  ,  he she must inform the event host . not knowing a hiker  's where about may prompt the event host to report a hiker  's missing to proper authority for further actions . no show  :  if you sign up for an event but did not show up  ,  you will be removed from the next event you sign up . no minor  :  meetup user agreement can not be agreed to by a minor . therefore  ,  you and your guest must be over 18 to participate in our events . warning  :  if you have prior medical condition or a family history of illnesses pertaining to heart  ,  lungs  ,  brain  ,  etc. that can be aggravated by heat and physical exertion  ,  this is not the hike for you . if you have never done a hike of this distance or difficulty before  ,  this hike will be very difficult for you . it may well be your death march . the mountain is not going anywhere . we will schedule this event again in the future . do it when your mind and body are ready . hiking is a recreation  ,  not a suicide mission . release of liability  :  the organizer  (  me  )  of this trip is a volunteer and is not a professional guide . the function of the organizer is only to organize this trip . each person who signs up for a trip hike or outing is responsible for his or her own safety and the safety of his or her guests . by signing up for this trip  ,  or any other event organized by me  ,  you are acknowledging that you are aware and have made your guests aware of the risks  ,  dangers and hazards associated with any outdoor activity and freely accept and fully assume all such risks  ,  dangers and hazards  ,  and further agree to release and discharge the organizer  (  me  )  of this hike from and against any and all liability arising from your and your guest  's participation in the group activities . us hiking  ,  its organizer  ,  assistant organizers  ,  event organizers are not responsible for any injuries or accidents that may occur carpooling to and from this event  ,  or for any injuries or accidents incurred before  ,  during  ,  and after this event . if you sign up or participate in an event you acknowledge that you freely and voluntarily agree to assume all risks of injuries and damages arising from  ,  as a result of and associated with this event . in addition  ,  you and your guests are acknowledging that you agree to the meetup terms of service especially paragraph 6.2  :  ",0.93
